Nombre_d_eleves,Type_etablissement,Code_departement,latitude,longitude
2125.0,Lycée,33,44.833482227662586,-0.5730635067578785
563.0,Lycée,75,48.8455763863819,2.3316504129059505
238.0,Lycée,34,43.48785538193575,2.764709746034311
908.0,Lycée,35,47.65480868230408,-2.080959469427167
934.0,Lycée,57,49.199195706051206,6.697749830261016
514.0,Lycée,57,49.102479826551615,6.176140258419171
506.0,Lycée,27,49.02245683549989,1.1663200585397335
725.0,Lycée,69,45.75100911501372,4.872079872603998
1467.0,Lycée,74,45.89683204625066,6.094859393149863
1096.0,Lycée,30,44.122787041997576,4.081269618550759
207.0,Lycée,58,47.36038134310113,3.3845295266378943
572.0,Lycée,41,47.58943397291615,1.3298899907355377
1042.0,Lycée,78,48.895245591400396,2.0615799666400223
117.0,Lycée,63,45.78428030983859,3.0868200766312888
402.0,Lycée,62,50.74993111512291,2.261249772918817
1125.0,Lycée,51,49.25832684426352,4.045500552009885
325.0,Lycée,52,48.64611394482432,4.972910023027348
595.0,Lycée,07,44.62717798518289,4.387739458191375
145.0,Lycée,69,45.768402460380045,4.868710234602951
1125.0,Lycée,974,-20.949558159724837,55.32739018924923
474.0,Lycée,59,50.27679102156723,3.9759099873260655
293.0,Lycée,13,43.525998762848204,5.4521098282804505
1221.0,Lycée,50,48.67801076044811,-1.3591602020756042
444.0,Lycée,13,43.31305264909755,5.420539604366283
986.0,Lycée,13,43.41302338253847,5.205940410677632
1394.0,Lycée,06,43.68526624928288,7.198900088961463
1886.0,Lycée,76,49.45106410823946,1.122069994170497
1158.0,Lycée,59,50.60188630055762,2.9187505187573173
313.0,Lycée,17,45.73513477620006,-0.6152600133541817
263.0,Lycée,46,44.894803181257465,1.481496831101006
331.0,Lycée,47,44.23232367256459,0.6415565611559342
285.0,Lycée,64,43.501868873377134,-1.524028749787056
504.0,Lycée,34,43.457268219056814,3.417670069331333
51.0,Lycée,75,48.85103101767992,2.319210412442488
164.0,Lycée,54,48.69086075595297,6.188290254230879
